planning_area,category,model,score
LIM CHU KANG,emergency_services,cumulative,0.0
LIM CHU KANG,emergency_services,hansen,0.0
LIM CHU KANG,essential_services,2sfca,32.0
LIM CHU KANG,essential_services,cumulative,2.0
LIM CHU KANG,essential_services,hansen,4.206843178490023
LIM CHU KANG,transport_services,2sfca,238.8
LIM CHU KANG,transport_services,cumulative,52.0
LIM CHU KANG,transport_services,hansen,69.48390285908272
MANDAI,community_spaces,2sfca,22.58551188298597
MANDAI,community_spaces,cumulative,286.3333333333333
MANDAI,community_spaces,hansen,167.7050834469945
MANDAI,education_institutions,2sfca,60.53045938163181
MANDAI,education_institutions,cumulative,134.0
MANDAI,education_institutions,hansen,407.7858551969382
MANDAI,emergency_services,2sfca,2.687708855472014
MANDAI,emergency_services,cumulative,2.0
MANDAI,emergency_services,hansen,7.1193566318799
MANDAI,essential_services,2sfca,101.1716517474439
MANDAI,essential_services,cumulative,114.0
MANDAI,essential_services,hansen,721.9503940435778
MANDAI,transport_services,2sfca,123.13117388486887
MANDAI,transport_services,cumulative,263.3333333333333
MANDAI,transport_services,hansen,559.8122504231532
MARINA EAST,community_spaces,2sfca,18.892664591120834
MARINA EAST,community_spaces,cumulative,803.0
MARINA EAST,community_spaces,hansen,80.99662833036085
MARINA EAST,education_institutions,2sfca,33.51796023765359
MARINA EAST,education_institutions,cumulative,171.0
MARINA EAST,education_institutions,hansen,109.35840503501908
MARINA EAST,emergency_services,2sfca,2.7164930753938137
MARINA EAST,emergency_services,cumulative,6.0
MARINA EAST,emergency_services,hansen,15.374205501878453
MARINA EAST,essential_services,2sfca,63.82995381047484
MARINA EAST,essential_services,cumulative,166.0
MARINA EAST,essential_services,hansen,189.2883170044002
MARINA EAST,transport_services,2sfca,80.26987503650963
MARINA EAST,transport_services,cumulative,509.0
MARINA EAST,transport_services,hansen,365.84751490770236
MARINA SOUTH,community_spaces,2sfca,4.901617241300519
MARINA SOUTH,community_spaces,cumulative,360.0
MARINA SOUTH,community_spaces,hansen,26.850483761911754
MARINA SOUTH,education_institutions,2sfca,7.076307337334556
MARINA SOUTH,education_institutions,cumulative,66.0
MARINA SOUTH,education_institutions,hansen,39.17096066090212
MARINA SOUTH,emergency_services,2sfca,0.7051282051282052
MARINA SOUTH,emergency_services,cumulative,2.0
MARINA SOUTH,emergency_services,hansen,5.79611913011642
MARINA SOUTH,essential_services,2sfca,17.673910468894007
MARINA SOUTH,essential_services,cumulative,81.0
MARINA SOUTH,essential_services,hansen,111.79606903264535
MARINA SOUTH,transport_services,2sfca,37.75749449168418
MARINA SOUTH,transport_services,cumulative,337.0
MARINA SOUTH,transport_services,hansen,500.67264505023064
MARINE PARADE,community_spaces,2sfca,33.402360868164216
MARINE PARADE,community_spaces,cumulative,714.0
MARINE PARADE,community_spaces,hansen,683.7364569739968
MARINE PARADE,education_institutions,2sfca,73.06325612468086
MARINE PARADE,education_institutions,cumulative,206.0
MARINE PARADE,education_institutions,hansen,803.5814903151042
MARINE PARADE,emergency_services,2sfca,6.035059925210663
MARINE PARADE,emergency_services,cumulative,6.6
MARINE PARADE,emergency_services,hansen,33.577153541055296
MARINE PARADE,essential_services,2sfca,119.19339706240157
MARINE PARADE,essential_services,cumulative,177.2
MARINE PARADE,essential_services,hansen,1279.7876239168957
MARINE PARADE,transport_services,2sfca,145.12703070920062
MARINE PARADE,transport_services,cumulative,463.8
MARINE PARADE,transport_services,hansen,886.175274638171
MUSEUM,community_spaces,2sfca,14.861334327302167
MUSEUM,community_spaces,cumulative,950.0
MUSEUM,community_spaces,hansen,342676.9420164779
MUSEUM,education_institutions,2sfca,32.183329401852596
MUSEUM,education_institutions,cumulative,265.6666666666667
MUSEUM,education_institutions,hansen,666.997407685628
MUSEUM,emergency_services,2sfca,2.9363460905803636
MUSEUM,emergency_services,cumulative,7.333333333333333
MUSEUM,emergency_services,hansen,56.89475853376536
MUSEUM,essential_services,2sfca,63.44693262695616
MUSEUM,essential_services,cumulative,265.0
MUSEUM,essential_services,hansen,835.6387322113196
MUSEUM,transport_services,2sfca,86.75536357572945
MUSEUM,transport_services,cumulative,736.3333333333334
MUSEUM,transport_services,hansen,5344666.245465617
NEWTON,community_spaces,2sfca,16.19722321793606
NEWTON,community_spaces,cumulative,954.6666666666666
NEWTON,community_spaces,hansen,186.54991950542225
NEWTON,education_institutions,2sfca,38.49965269658648
NEWTON,education_institutions,cumulative,288.5
NEWTON,education_institutions,hansen,757.2033209215319
NEWTON,emergency_services,2sfca,2.114877249285032
NEWTON,emergency_services,cumulative,5.333333333333333
NEWTON,emergency_services,hansen,259.93848996859896
NEWTON,essential_services,2sfca,71.10953858442905
NEWTON,essential_services,cumulative,276.8333333333333
NEWTON,essential_services,hansen,1090.5762313785315
NEWTON,transport_services,2sfca,95.74978811796827
NEWTON,transport_services,cumulative,757.5
NEWTON,transport_services,hansen,1613.3956151533519
NORTH-EASTERN ISLANDS,community_spaces,2sfca,38.215584415584416
NORTH-EASTERN ISLANDS,community_spaces,cumulative,162.0
NORTH-EASTERN ISLANDS,community_spaces,hansen,790.0270555565347
NORTH-EASTERN ISLANDS,education_institutions,2sfca,0.0
NORTH-EASTERN ISLANDS,education_institutions,cumulative,0.0
NORTH-EASTERN ISLANDS,education_institutions,hansen,0.0
NORTH-EASTERN ISLANDS,emergency_services,2sfca,50.0
NORTH-EASTERN ISLANDS,emergency_services,cumulative,4.0
NORTH-EASTERN ISLANDS,emergency_services,hansen,13.466479803879203
NORTH-EASTERN ISLANDS,essential_services,2sfca,13.333333333333332
NORTH-EASTERN ISLANDS,essential_services,cumulative,3.0
NORTH-EASTERN ISLANDS,essential_services,hansen,732.1402214948419
NORTH-EASTERN ISLANDS,transport_services,2sfca,103.98961038961039
NORTH-EASTERN ISLANDS,transport_services,cumulative,63.0
NORTH-EASTERN ISLANDS,transport_services,hansen,663.5752186548294
NOVENA,community_spaces,2sfca,18.9716401141965
NOVENA,community_spaces,cumulative,852.0
NOVENA,community_spaces,hansen,163.80718288051912
NOVENA,education_institutions,2sfca,47.51304151749788
NOVENA,education_institutions,cumulative,247.4
NOVENA,education_institutions,hansen,630.3112315833819
NOVENA,emergency_services,2sfca,2.3042824112402367
NOVENA,emergency_services,cumulative,4.6
NOVENA,emergency_services,hansen,16.160437837485738
NOVENA,essential_services,2sfca,75.64937743670733
NOVENA,essential_services,cumulative,222.4
NOVENA,essential_services,hansen,913.3999976965766
NOVENA,transport_services,2sfca,92.2919715173837
NOVENA,transport_services,cumulative,592.4
NOVENA,transport_services,hansen,8090.299185363132
ORCHARD,community_spaces,2sfca,15.39062493643866
ORCHARD,community_spaces,cumulative,912.6666666666666
ORCHARD,community_spaces,hansen,205.402382637532
ORCHARD,education_institutions,2sfca,39.55571037151128
ORCHARD,education_institutions,cumulative,298.6666666666667
ORCHARD,education_institutions,hansen,426.2829152696622
ORCHARD,emergency_services,2sfca,1.7944653685916883
ORCHARD,emergency_services,cumulative,5.0
ORCHARD,emergency_services,hansen,20.84716381552208
ORCHARD,essential_services,2sfca,71.77982752113827
ORCHARD,essential_services,cumulative,279.6666666666667
ORCHARD,essential_services,hansen,990.7643754732802
ORCHARD,transport_services,2sfca,100.22684655454763
ORCHARD,transport_services,cumulative,791.0
ORCHARD,transport_services,hansen,8002458.925473201
OUTRAM,community_spaces,2sfca,9.439506945713234
OUTRAM,community_spaces,cumulative,653.0
OUTRAM,community_spaces,hansen,389.93763558308734
OUTRAM,education_institutions,2sfca,26.227943108931054
OUTRAM,education_institutions,cumulative,220.5
OUTRAM,education_institutions,hansen,2000479.0014656293
OUTRAM,emergency_services,2sfca,3.762806550188827
OUTRAM,emergency_services,cumulative,8.25
OUTRAM,emergency_services,hansen,38.26016257398448
OUTRAM,essential_services,2sfca,50.05188943109336
OUTRAM,essential_services,cumulative,211.5
