id,created_at,text,event_date,sender_id,msg_id,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code
90,,,18/4/2017,,,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,
91,,,18/4/2017,,,40191 (BUS STOP),flash_flood,,,,,1.312686,103.830427,259978,,,
92,,,18/4/2017,,,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,
93,,,21/4/2017,,,UPPER CROSS STREET,flash_flood,,,,,1.285862,103.842811,058288,,,
94,,,27/4/2017,,,KOVAN ROAD,flash_flood,,,,,1.358496,103.881234,548534,,,
95,,,27/4/2017,,,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,
96,,,27/4/2017,,,TAI SENG DRIVE,flash_flood,,,,,1.337758,103.893213,535222,,,
97,,,18/6/2017,,,DAIRY FARM ROAD,flash_flood,,,,,1.353493,103.787868,289759,,,
98,,,14/7/2017,,,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,
99,,,14/7/2017,,,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,
100,,,7/10/2017,,,BISHAN MRT STATION,flash_flood,,,,,1.350706,103.848079,579827,,,
101,,,7/10/2017,,,BRADDEL MRT STATION,flash_flood,,,,,1.340605,103.847231,319758,,,
102,,,30/10/2017,,,STAMFORD ROAD,flash_flood,,,,,1.294094,103.850124,178892,,,
103,,,30/10/2017,,,VICTORIA STREET,flash_flood,,,,,1.300563,103.855781,188045,,,
104,,,30/10/2017,,,MOUNT ELIZABETH,flash_flood,,,,,1.32211,103.844317,329562,,,
105,,,9/11/2017,,,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,
106,,,18/11/2017,,,MANDAI ROAD,flash_flood,,,,,1.40743,103.783828,729979,,,
107,,,18/11/2017,,,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,
108,,,22/11/2017,,,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,
109,,,22/11/2017,,,40191 (BUS STOP),flash_flood,,,,,1.312686,103.830427,259978,,,
110,,,15/12/2017,,,PASIR RIS FARMWAY,flash_flood,,,,,1.385908,103.934912,518221,,,
111,,,8/1/2018,,,TAMPINES ROAD,flash_flood,,,,,1.362843,103.966929,509733,,,
112,,,8/1/2018,,,THE GLADES,flash_flood,,,,,1.327081,103.947772,469601,,,
113,,,8/1/2018,,,JALAN NIPAH,flash_flood,,,,,1.325939,103.95278,468585,,,
114,,,8/1/2018,,,PAYA LEBAR QUARTER,flash_flood,,,,,1.316174,103.893139,437161,,,
115,,,8/1/2018,,,ARUMUGAM ROAD,flash_flood,,,,,1.325178,103.891377,409961,,,
116,,,8/1/2018,,,CHANGI FIRE STATION,flash_flood,,,,,1.33488,103.951353,486123,,,
117,,,8/1/2018,,,TAMPINES AVENUE 12,flash_flood,,,,,1.363297,103.944612,521637,,,
118,,,9/1/2018,,,134 TANJONG PAGAR ROAD,flash_flood,,,,,1.277471,103.843403,088534,,,
119,,,24/1/2018,,,CRAIG ROAD,flash_flood,,,,,1.277854,103.842278,089688,,,
120,,,24/1/2018,,,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,
121,,,30/1/2018,,,SELETAR NORTH LINK,flash_flood,,,,,1.424892,103.883643,797359,,,
122,,,31/1/2018,,,ANG MO KIO INDUSTRIAL PARK 2,flash_flood,,,,,1.371047,103.862851,569500,,,
123,,,17/3/2018,,,21229,flash_flood,,,,,1.342064,103.71602,648923,,,
124,,,30/3/2018,,,BUKIT BATOK ROAD,flash_flood,,,,,1.363244,103.742569,659203,,,
125,,,30/3/2018,,,CHOA CHU KANG AVENUE 1,flash_flood,,,,,1.37744,103.744383,680253,,,
126,,,30/3/2018,,,CHUA CHU KANG CEMETERY OFFICE,flash_flood,,,,,1.374358,103.693645,698910,,,
127,,,30/3/2018,,,LIM CHU KANG FARMWAY,flash_flood,,,,,1.428068,103.704222,718921,,,
128,,,7/4/2018,,,MARYMOUNT MRT STATION,flash_flood,,,,,1.348707,103.839423,570302,,,
129,,,20/4/2018,,,TENGAH FLYOVER,flash_flood,,,,,1.363822,103.707043,648170,,,
130,,,23/4/2018,,,40191,flash_flood,,,,,1.312686,103.830427,259978,,,
131,,,23/4/2018,,,GILSTEAD 2,flash_flood,,,,,1.31496,103.838459,307997,,,
132,,,27/4/2018,,,SELETAR NORTH LINK,flash_flood,,,,,1.424892,103.883643,797359,,,
133,,,1/5/2018,,,BLK 448 CLEMENTI AVENUE 3,flash_flood,,,,,1.31332,103.764517,120448,,,
134,,,26/5/2018,,,KRAMAT LANE,flash_flood,,,,,1.300979,103.842274,228750,,,
135,,,26/5/2018,,,CAVENAGH ROAD,flash_flood,,,,,1.308095,103.84214,229491,,,
136,,,20/6/2018,,,21229,flash_flood,,,,,1.342064,103.71602,648923,,,
137,,,26/6/2018,,,ENG NEO FLYOVER,flash_flood,,,,,1.339976,103.806539,288303,,,
138,,,26/6/2018,,,TOH TUCK AVENUE,flash_flood,,,,,1.33054,103.758726,596226,,,
139,,,26/6/2018,,,KISMIS ROAD,flash_flood,,,,,1.335544,103.771203,599430,,,
140,,,29/6/2018,,,LORONG KISMIS,flash_flood,,,,,1.336996,103.766805,598112,,,
141,,,29/6/2018,,,BUKIT TIMAH,flash_flood,,,,,1.333937,103.792132,276308,,,
142,,,29/6/2018,,,DUNEARN ROAD,flash_flood,,,,,1.321188,103.825058,297753,,,
143,,,19/9/2018,,,55189 (BUS STOP),flash_flood,,,,,1.382953,103.844225,569845,,,
144,,,16/10/2018,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
145,,,23/10/2018,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
146,,,10/11/2018,,,CHOA CHU KANG WAY,flash_flood,,,,,1.377584,103.750314,688786,,,
147,,,10/11/2018,,,CHOA CHU KANG AVENUE 1,flash_flood,,,,,1.37744,103.744383,680253,,,
148,,,10/11/2018,,,BUKIT BATOK DRIVING CENTRE,flash_flood,,,,,1.3668,103.750142,659003,,,
149,,,11/11/2018,,,LORONG 23 GEYLANG,flash_flood,,,,,1.315461,103.881255,388379,,,
150,,,11/11/2018,,,ALJUNIED WEST FLYOVER,flash_flood,,,,,1.319295,103.87634,387381,,,
151,,,12/12/2018,,,42059 (BUS STOP),flash_flood,,,,,1.336445,103.782762,596288,,,
152,,,12/12/2018,,,41069,flash_flood,,,,,1.326528,103.807586,269733,,,
153,,,12/12/2018,,,ORCHID VILLAGE,flash_flood,,,,,1.333111,103.800138,288735,,,
154,,,15/12/2018,,,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,
155,,,15/12/2018,,,YUAN CHING ROAD,flash_flood,,,,,1.325468,103.725222,618642,,,
156,,,20/12/2018,,,SEMBAWANG PARK,flash_flood,,,,,1.461362,103.8365,757600,,,
157,,,19/5/2019,,,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,
158,,,3/6/2019,,,OPHIR ROAD,flash_flood,,,,,1.299961,103.859066,307584,,,
159,,,3/6/2019,,,COMMONWEALTH LANE,flash_flood,,,,,1.304553,103.797475,149547,,,
160,,,3/6/2019,,,CRAIG ROAD,flash_flood,,,,,1.277854,103.842278,089688,,,
161,,,2/12/2019,,,JURONG EAST STREET 32,flash_flood,,,,,1.346948,103.733825,600314,,,
162,,,2/12/2019,,,CHOA CHU KANG AVE 1,flash_flood,,,,,1.37744,103.744383,680253,,,
163,,,30/4/2020,,,LICHI AVENUE,flash_flood,,,,,1.33316,103.876492,367874,,,
164,,,30/4/2020,,,SERANGOON AVENUE 2,flash_flood,,,,,1.353626,103.867705,550304,,,
165,,,30/4/2020,,,JALAN TELITI,flash_flood,,,,,1.360393,103.890228,532373,,,
166,,,30/4/2020,,,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,,,
167,,,30/4/2020,,,50 HOUGANG AVENUE 1,flash_flood,,,,,1.360305,103.888083,530211,,,
168,,,30/4/2020,,,UPPER PAYA LEBAR ROAD,flash_flood,,,,,1.335184,103.888238,534803,,,
169,,,22/5/2020,,,CRAIG ROAD,flash_flood,,,,,1.277854,103.842278,089688,,,
170,,,23/6/2020,,,JURONG TOWN HALL ROAD,flash_flood,,,,,1.331977,103.739634,608516,,,
171,,,23/6/2020,,,CHANGI FIRE STATION,flash_flood,,,,,1.33488,103.951353,486123,,,
172,,,23/6/2020,,,NEW UPPER CHANGI ROAD,flash_flood,,,,,1.324064,103.940749,461059,,,
173,,,9/7/2020,,,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,
174,,,13/8/2020,,,ALJUNIED ROAD,flash_flood,,,,,1.322313,103.881475,370023,,,
175,,,14/8/2020,,,CRAIG ROAD,flash_flood,,,,,1.277854,103.842278,089688,,,
176,,,14/8/2020,,,TANJONG PAGAR ROAD,flash_flood,,,,,1.273715,103.842919,088542,,,
177,,,2/11/2020,,,MOUNT VERNON ROAD,flash_flood,,,,,1.34041,103.879577,361222,,,
178,,,2/11/2020,,,UPPER PAYA LEBAR ROAD,flash_flood,,,,,1.335184,103.888238,534803,,,
179,,,2/11/2020,,,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,,,
180,,,7/11/2020,,,ALJUNIED ROAD,flash_flood,,,,,1.322313,103.881475,370023,,,
