planning_area,category,category_norm,composite_score,composite_percentile,composite_rank,importance_label,confidence_label,model_spread,model_std_norm,dominant_model,laggard_model,rank_median,rank_mean,rank_spread,pareto_priority,model_min_norm,model_max_norm,2sfca_norm,2sfca_raw,rank_2sfca,cumulative_norm,cumulative_raw,rank_cumulative,hansen_norm,hansen_raw,rank_hansen
MARINE PARADE,transport_services,transport_services,36.5117528938123,54.54545454545454,26.0,Priority for action,Low agreement,58.360938422106216,25.707019407110412,cumulative,hansen,20.0,25.666666666666668,25.0,False,0.010562850158420414,58.37150127226464,49.668567568623686,145.12703070920062,16.0,58.37150127226464,463.8,20.0,0.010562850158420414,886.175274638171,41.0
MUSEUM,community_spaces,community_spaces,36.00832553137431,72.72727272727273,16.0,Priority for action,Low agreement,82.34034940145244,35.41269547019864,cumulative,hansen,5.0,15.0,32.0,False,10.769520244730055,93.1098696461825,28.31099105743758,14.861334327302169,36.0,93.1098696461825,950.0,4.0,10.769520244730055,342676.9420164779,5.0
MUSEUM,education_institutions,education_institutions,28.571017675567056,41.81818181818181,33.0,Priority for action,Low agreement,78.39661824396981,32.624824163966316,cumulative,hansen,30.0,26.0,26.0,False,0.0041687149959121,78.40078695896572,25.77921933855027,32.183329401852596,37.0,78.40078695896572,265.6666666666667,11.0,0.0041687149959121,666.997407685628,30.0
MUSEUM,emergency_services,emergency_services,20.71419214202281,85.45454545454545,9.0,Priority for action,Low agreement,88.88866131000665,40.58922799874412,cumulative,hansen,11.0,15.333333333333334,27.0,False,0.00022757888223283766,88.88888888888889,5.872692181160727,2.9363460905803636,31.0,88.88888888888889,7.333333333333333,4.0,0.00022757888223283766,56.89475853376536,11.0
MUSEUM,essential_services,essential_services,33.66214421501588,50.90909090909091,28.0,Priority for action,Low agreement,86.83257087240412,35.815356572854256,cumulative,hansen,33.0,25.333333333333332,25.0,False,0.00522268303006465,86.83779355543419,32.58603739804004,63.44693262695616,33.0,86.83779355543419,265.0,9.0,0.00522268303006465,835.6387322113196,34.0
MUSEUM,transport_services,transport_services,50.884914162656614,87.27272727272727,8.0,Needs improvement,Low agreement,68.56568441208701,28.246332164388267,cumulative,2sfca,5.0,16.0,37.0,False,24.479268938209856,93.04495335029686,24.479268938209856,86.75536357572945,40.0,93.04495335029686,736.3333333333334,5.0,66.78763007830771,5344666.245465617,3.0
NEWTON,community_spaces,community_spaces,34.14314553955307,65.45454545454545,20.0,Priority for action,Low agreement,93.56138864226386,38.927530352325974,cumulative,hansen,31.0,22.666666666666668,31.0,False,0.005862819724444139,93.5672514619883,30.855872802476142,16.19722321793606,31.0,93.5672514619883,954.6666666666666,3.0,0.005862819724444139,186.54991950542225,34.0
NEWTON,education_institutions,education_institutions,32.44857807156084,52.72727272727272,27.0,Priority for action,Low agreement,85.13439060345598,35.19333190362014,cumulative,hansen,27.0,21.666666666666668,24.0,False,0.004732499410804004,85.13912310286679,30.838667402328472,38.49965269658648,31.0,85.13912310286679,288.5,7.0,0.004732499410804004,757.2033209215319,27.0
NEWTON,emergency_services,emergency_services,15.04448210455772,65.45454545454545,20.0,Priority for action,Low agreement,64.64542489319876,29.52793753025178,cumulative,hansen,13.0,20.666666666666668,37.0,False,0.0010397532658696106,64.64646464646464,4.229754498570064,2.114877249285032,43.0,64.64646464646464,5.333333333333333,13.0,0.0010397532658696106,259.93848996859896,6.0
NEWTON,essential_services,essential_services,36.405893372693725,56.36363636363636,25.0,Priority for action,Low agreement,90.70864001056759,37.26536054473362,cumulative,hansen,29.0,21.666666666666668,24.0,False,0.006816024385968932,90.71545603495356,36.52151471677445,71.10953858442905,30.0,90.71545603495356,276.8333333333333,6.0,0.006816024385968932,1090.5762313785317,29.0
