amenity_id,nearest_first_road_id,nearest_first_road_name,nearest_second_road_id,nearest_second_road_name,nearest_third_road_id,nearest_third_road_name,nearest_fourth_road_id,nearest_fourth_road_name
3c720131-f513-5fca-98a8-35caf539071c,69,ANG MO KIO AVENUE 5,95,ANG MO KIO STREET 52,97,ANG MO KIO STREET 54,94,ANG MO KIO STREET 51
83167efc-cfdd-5432-9a0d-68a16a230735,2423,MARSILING ROAD,4071,WOODLANDS STREET 13,2413,MARSILING INDUSTRIAL ESTATE ROAD 2,2415,MARSILING INDUSTRIAL ESTATE ROAD 4
1c701b4b-3313-50ac-9859-1318ae88d726,1999,KRANJI EXPRESSWAY,571,CHOA CHU KANG CENTRAL,576,CHOA CHU KANG LOOP,568,CHOA CHU KANG AVENUE 4
f87ff1fb-7ec9-56f6-92e5-399c49b21da4,2926,PUNGGOL ROAD,3357,STREET. ANNE'S WOOD,1551,JALAN MERDU,672,COMPASSVALE CRESCENT
39faea64-a852-5e4d-971a-7f80087e4dd5,3633,TELOK BLANGAH STREET 32,3632,TELOK BLANGAH STREET 31,3629,TELOK BLANGAH HEIGHTS,774,DEPOT ROAD
1ea52422-0f97-54fe-a7ce-a4c9904fb06c,1833,JURONG WEST STREET 61,1835,JURONG WEST STREET 63,2871,PIONEER ROAD NORTH,1838,JURONG WEST STREET 71
fe2028ef-d722-5a8a-b802-1ed737a0ade2,191,BEDOK NORTH STREET 4,189,BEDOK NORTH STREET 2,184,BEDOK NORTH AVENUE 3,2721,PARI DEDAP WALK
38d4dbe6-bd4c-5706-ad72-99c98390b86c,4031,WOODLANDS DRIVE 42,4015,WOODLANDS AVENUE 4,4065,WOODLANDS RING ROAD,4017,WOODLANDS AVENUE 6
e9b0ceb6-2ca6-5820-8968-b361ba41b3b8,2438,MAY ROAD,3719,TOWNER ROAD,2452,MCNAIR ROAD,3360,STREET. GEORGE'S LANE
92056a53-2749-52e1-80d6-5d77ef14b3f4,674,COMPASSVALE LANE,328,BUANGKOK SOUTH FARMWAY 1,675,COMPASSVALE LINK,673,COMPASSVALE DRIVE
e60f6ef0-e717-5423-999e-0bdbf18e608a,2931,PUNGGOL WALK,2923,PUNGGOL PLACE,2932,PUNGGOL WAY,3385,SUMANG WALK
d4f2f3e6-ee88-5eea-aec5-631e0ec8e962,2207,LORONG 8A TOA PAYOH,2204,LORONG 7 TOA PAYOH,2206,LORONG 8 TOA PAYOH,2201,LORONG 6 TOA PAYOH
f905103b-a375-596d-ad20-79127347ae0d,2921,PUNGGOL FIELD,2926,PUNGGOL ROAD,2918,PUNGGOL CENTRAL,842,EDGEFIELD PLAINS
2b12fd07-57f3-54ab-a251-50479d129ee3,3414,SUNSET CLOSE,3425,SUNSET WALK,3422,SUNSET TERRACE,633,CLEMENTI AVENUE 6
011e6c01-7b47-586d-a973-16a39df519e3,4072,WOODLANDS STREET 31,4014,WOODLANDS AVENUE 3,4069,WOODLANDS STREET 11,127,ASHWOOD GROVE
9bdda9d8-740a-5f53-a267-96498b106365,263,BISHAN STREET 12,262,BISHAN STREET 11,264,BISHAN STREET 13,3689,TOA PAYOH NORTH
67f242b6-d198-5a13-a79f-0ffe0291ad48,2442,MAYFLOWER DRIVE,2441,MAYFLOWER CRESCENT,2444,MAYFLOWER PLACE,68,ANG MO KIO AVENUE 4
a8239195-fa73-58e4-b832-f9e117f06abd,95,ANG MO KIO STREET 52,94,ANG MO KIO STREET 51,96,ANG MO KIO STREET 53,69,ANG MO KIO AVENUE 5
5c45fb05-7551-5725-9369-22f6531a81ef,843,EDGEFIELD WALK,841,EDGEDALE PLAINS,842,EDGEFIELD PLAINS,2919,PUNGGOL DRIVE
3b3e5af8-5ccd-5559-b0d3-f0d1bc6247fa,3686,TOA PAYOH EAST,2204,LORONG 7 TOA PAYOH,1959,KIM KEAT AVENUE,2206,LORONG 8 TOA PAYOH
dbc5263d-73ca-52ff-81d8-e490b3160fa1,632,CLEMENTI AVENUE 5,631,CLEMENTI AVENUE 4,630,CLEMENTI AVENUE 3,3419,SUNSET LANE
b0c0d25d-d4d3-56f6-8c0f-4b21fafc39f3,2969,REDHILL ROAD,2967,REDHILL CLOSE,2968,REDHILL LANE,1732,JALAN TIONG
46aadb1f-d2d7-5281-8863-28835684e1a9,2179,LORONG 3 TOA PAYOH,2141,LORONG 1 TOA PAYOH,2160,LORONG 1A TOA PAYOH,3846,UN-NAMED ROAD
e63dfef0-57ff-530e-ace6-ac4cbcbd8ca1,576,CHOA CHU KANG LOOP,568,CHOA CHU KANG AVENUE 4,1999,KRANJI EXPRESSWAY,571,CHOA CHU KANG CENTRAL
b28a69ea-4014-59f0-90ee-a7d71248b34d,190,BEDOK NORTH STREET 3,183,BEDOK NORTH AVENUE 2,187,BEDOK NORTH ROAD,184,BEDOK NORTH AVENUE 3
