id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code,start_planning_area,start_planning_area_id,start_subzone,start_subzone_id,start_street_name,start_street_id,end_planning_area,end_planning_area_id,end_subzone,end_subzone_id,end_street_name,end_street_id
58,,22/1/2016,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,,QUEENSTOWN,000017,PASIR PANJANG 1,000025,NEO PEE TECK LANE,035704,,,,,,
59,,9/4/2016,MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD),flash_flood,,,,,1.277368,103.818652,090011,,,,BUKIT MERAH,000004,TELOK BLANGAH WAY,000039,TELOK BLANGAH CRESCENT,052926,,,,,,
60,,20/4/2016,2 ENTERPRISE ROAD,flash_flood,,,,,1.333642,103.707847,629814,,,,JURONG WEST,000013,KIAN TECK,000105,ENTERPRISE ROAD,049126,,,,,,
61,,11/5/2016,45061 (BUS STOP),flash_flood,,,,,1.407181,103.756063,729678,,,,SUNGEI KADUT,000028,GALI BATU,000277,WOODLANDS ROAD,047384,,,,,,
62,,11/5/2016,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,,YISHUN,000055,YISHUN WEST,000316,YISHUN AVENUE 2,008540,,,,,,
63,,18/5/2016,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,,JURONG WEST,000013,KIAN TECK,000105,INTERNATIONAL ROAD,024765,,,,,,
64,,17/6/2016,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,,,,JURONG WEST,000013,KIAN TECK,000105,ENTERPRISE ROAD,048492,,,,,,
65,,17/6/2016,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
66,,17/6/2016,TUAS UNDERPASS,flash_flood,,,,,1.321705,103.663691,638481,,,,PIONEER,000015,GUL CIRCLE,000138,JALAN AHMAD IBRAHIM,010999,,,,,,
67,,8/7/2016,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
68,,13/7/2016,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
69,,26/7/2016,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,,QUEENSTOWN,000017,PASIR PANJANG 1,000025,NEO PEE TECK LANE,035704,,,,,,
70,,14/9/2016,50 HOUGANG AVE 1,flash_flood,,,,,1.360305,103.888083,530211,,,,HOUGANG,000011,LORONG AH SOO,000186,HOUGANG AVENUE 1,003595,,,,,,
71,,24/12/2016,BALMORAL ROAD,flash_flood,,,,,1.313244,103.830181,257878,,,,NEWTON,000044,GOODWOOD PARK,000125,BALMORAL ROAD,026942,,,,,,
