amenity_id,amenity_type,planning_area,footfall,is_heartland
791cb672-1f8a-5609-93e1-ac1f87ddbfac,bus_stops,SUNGEI KADUT,7025.747126436781,True
cfd32ef3-0255-5794-b1a9-3ffc30b64e36,bus_stops,BUKIT TIMAH,4866.25,True
247cacac-54f6-5459-924d-0a026c08431e,bus_stops,SERANGOON,3838.1690140845067,True
2f0875ee-7b11-5d35-b967-2261d9b0d21e,bus_stops,ANG MO KIO,6802.1556886227545,True
69499303-5d8f-501c-b168-97ad8c47fae8,bus_stops,BEDOK,7181.222222222223,True
0d2f1091-2f04-5d88-bd74-7e8f8a1d3fbe,bus_stops,ANG MO KIO,6802.1556886227545,True
bd93dfb4-71a9-54fe-9a6b-99f8450877ea,bus_stops,TOA PAYOH,9015.555555555555,True
4e663765-d1da-5175-aa6a-eb2afb8c5fcc,bus_stops,WESTERN WATER CATCHMENT,12483.076923076924,True
3c404e4d-59e5-5ae0-b265-768a2edb60f8,bus_stops,TUAS,9087.68,True
f47b0c90-8d9e-5c0c-a632-98b2aceaf12c,bus_stops,WOODLANDS,5708.341708542714,True
d0d6bfe3-f6d2-519d-8ecf-a64d51d203df,bus_stops,QUEENSTOWN,5026.371681415929,True
923f2faa-ade9-5586-9f75-573f2977bae2,bus_stops,TANGLIN,23182.857142857145,True
3f9c5f18-9b5b-5e4f-8799-1e2bceda14ce,bus_stops,BEDOK,7181.222222222223,True
91474112-b3a6-5d8e-be95-4032d1cd1519,bus_stops,KALLANG,17158.67256637168,True
2481946c-3c2d-5ec9-aea0-2a1b9e6f5556,bus_stops,BEDOK,7181.222222222223,True
4818c38a-196a-55d9-912b-1f23ab6e10e4,bus_stops,TANGLIN,39570.0,True
69cc2fe4-b151-576f-900e-7b62a62f2f39,bus_stops,BUKIT BATOK,7735.734265734266,True
68204a27-d1e6-5c3a-b795-ebe1984d153c,bus_stops,BUKIT BATOK,7735.734265734266,True
c2f6eb2f-2bf7-5ad0-97a4-c931317b3bc9,bus_stops,NOVENA,14749.466666666667,True
a74c9481-95e0-51f6-ac25-0395a8578cab,bus_stops,MUSEUM,55310.5,False
a3648165-092a-5f6f-8861-50fc99ee278e,bus_stops,WOODLANDS,5558.844221105528,True
35e3bded-5dca-5622-8edd-d62269929de5,bus_stops,TENGAH,55310.5,True
5a3457fa-89e2-50dd-9bd9-6d115d92afd1,bus_stops,HOUGANG,5476.287128712871,True
806d4a23-221d-52bc-9161-907597ebb758,bus_stops,SEMBAWANG,7629.0344827586205,True
1a34c05b-f189-5586-b981-f4956a4bf354,bus_stops,CLEMENTI,5749.375,True
dfa91bac-aebf-57cc-9ce7-002612ef45bb,bus_stops,BISHAN,6434.105263157895,True
bc26b681-6691-5c2e-9b66-d77d5d85b10b,bus_stops,BEDOK,7181.222222222223,True
f028a364-1efd-57bb-a4fd-9e09efa43558,bus_stops,BEDOK,7181.222222222223,True
c962cea1-7d5c-5bb1-ab55-15901bc09464,bus_stops,CHANGI,148.8505747126437,True
c200d704-8bc2-5e35-bfe6-99ffe9ed8f55,bus_stops,KALLANG,114.60176991150442,True
7cb4bf58-0ccf-58ab-8857-7685584bc2b2,bus_stops,KALLANG,114.60176991150442,True
916a10bb-f67d-5519-a1e1-808fc6f41450,bus_stops,YISHUN,80.9375,True
c0f3aee5-9dbf-5b82-9915-699df7884a7f,bus_stops,GEYLANG,84.0909090909091,True
db342ecc-5040-52e5-8258-aeba23ec8347,bus_stops,PASIR RIS,78.01204819277109,True
a7e7d19a-a223-5d77-903b-68aadabb8223,bus_stops,CHOA CHU KANG,12222.636363636364,True
734a921b-a7ed-5b78-bf27-a8440ad88ecd,bus_stops,HOUGANG,6655.891089108911,True
01afe130-122e-5529-b58a-86435686ada7,bus_stops,QUEENSTOWN,5949.070796460177,True
fa60a0ab-f61b-5398-b278-7786a0ccc5e3,bus_stops,BOON LAY,3.636363636363636,True
e9a387c2-cf66-5d53-a528-e9bfe53a3a23,bus_stops,PIONEER,2.121212121212121,True
9cc4d5b4-7136-5fa0-bb68-7e397995d026,bus_stops,JURONG EAST,1.9858156028368796,True
9537fbc1-8979-5661-ac86-fc90492369f1,bus_stops,QUEENSTOWN,1.238938053097345,True
e5956fcf-ad53-50e1-8263-09881a131391,bus_stops,SENGKANG,1.971830985915493,True
0a886f98-c410-5675-82a0-fa37e9099b00,bus_stops,JURONG EAST,1.9858156028368796,True
78fc65a8-a12e-50c2-a4e7-b243b7d3fd3f,bus_stops,SELETAR,12.17391304347826,True
0a2fb95c-a539-5d3d-8768-f4c6fb4ffa1e,bus_stops,DOWNTOWN CORE,3.5443037974683547,False
2399912a-aed7-5705-8a60-a28d6a657a60,bus_stops,BUKIT BATOK,7735.734265734266,True
f2147031-f0e7-55d2-9241-35df4d98073e,bus_stops,PIONEER,8380.378787878788,True
03d93652-7516-5770-b527-1d33cc9bdcd5,bus_stops,WOODLANDS,5558.844221105528,True
079976fd-c657-541d-bb73-89300ba28606,bus_stops,DOWNTOWN CORE,14002.658227848102,False
b4127f3d-c07b-5ef8-a30d-24404ba67840,bus_stops,JURONG EAST,7845.4609929078015,True
0a9e6600-41c7-5610-92da-8b7cca0329d2,bus_stops,BEDOK,7181.222222222223,True
1e54a57a-ff2f-53ba-84fe-9911bfb6a21c,bus_stops,SUNGEI KADUT,22286.55172413793,True
b2631a83-b9d9-50bc-a0bd-0beb4eb95799,bus_stops,BEDOK,7181.222222222223,True
dc65e92b-e5fc-5f82-938d-b8bee9575edb,bus_stops,SUNGEI KADUT,22286.55172413793,True
f803e19e-32a4-51d5-9d97-608f9e5f80f0,bus_stops,RIVER VALLEY,138495.0,False
c78388e8-fde7-551a-a11c-80f49f536f95,bus_stops,YISHUN,12118.3125,True
1aba4e6f-9608-5e07-b79b-9010aafd9844,bus_stops,CLEMENTI,5749.375,True
dceeb34f-afc1-51cc-929d-6001befb04c9,bus_stops,SERANGOON,4534.718309859155,True
e554d514-34c1-56ff-9366-42c81254435d,bus_stops,TOA PAYOH,5110.555555555556,True
0b38c20c-b380-5f7e-a09c-5e47c86b20ab,bus_stops,OUTRAM,24766.53846153846,False
