amenity_id,nearest_road_1_id,nearest_road_1_name,nearest_road_2_id,nearest_road_2_name,nearest_road_3_id,nearest_road_3_name,nearest_road_4_id,nearest_road_4_name
9e5de82b-69d1-4447-9e71-06424777dad4,049348,JALAN BATU NILAM,052626,JALAN BATU NILAM,048608,JALAN BATU NILAM,048638,JALAN DERMAWAN
3e87b25f-040f-4be2-ac19-2783bbd67212,007405,CHU LIN ROAD,006112,CHU LIN ROAD,048602,JALAN REMAJA,048589,JALAN REMAJA
249b6cf7-a730-4047-b4c0-8109eecb7cf3,059106,TAMPINES AVENUE 8,040966,TAMPINES STREET 84,049811,TAMPINES AVENUE 3,049799,TAMPINES AVENUE 3
76e8c3b2-064a-4916-a7cb-2e8c2c0e3e87,017280,NEW UPPER CHANGI ROAD,044504,MARIA AVENUE,022839,NEW UPPER CHANGI ROAD,023390,NEW UPPER CHANGI ROAD
d22af118-2ef7-4950-8b4f-d768afc6fb84,012918,CHOA CHU KANG NORTH 5,016379,CHOA CHU KANG NORTH 5,003426,CHOA CHU KANG NORTH 5,022341,CHOA CHU KANG NORTH 5
5b6909d3-c90a-43ac-9476-2653282ad829,019086,INTERNATIONAL BUSINESS PARK,019062,INTERNATIONAL BUSINESS PARK,019054,INTERNATIONAL BUSINESS PARK,019055,INTERNATIONAL BUSINESS PARK
7d68df7f-37c6-4462-930d-d79dc4c6561d,055317,JURONG EAST STREET 21,017428,JURONG EAST STREET 21,036563,JURONG EAST CENTRAL,059517,JURONG EAST CENTRAL
f4128dbe-2ea2-4f52-b918-f229f4063377,037897,CHOA CHU KANG DRIVE,033124,CHOA CHU KANG DRIVE,036791,CHOA CHU KANG DRIVE,046176,CHOA CHU KANG DRIVE
a4518389-2872-4302-b8ea-d64bb9555f24,053897,HAZEL PARK TERRACE,007687,CASHEW ROAD,032630,CASHEW ROAD,004837,CASHEW ROAD
a9c27ec0-9879-4cc1-a08a-77b54a39ae31,052793,CLEMENTI WEST STREET 2,005846,WEST COAST ROAD,040365,WEST COAST ROAD,052499,CLEMENTI WEST STREET 2
9af02ee6-fd1a-445d-8ec9-bfe74c1050ad,017982,CORPORATION DRIVE,018732,CORPORATION DRIVE,037418,CORPORATION DRIVE,002899,CORPORATION DRIVE
a65f0fb3-6fd8-4cdd-87a9-c4d1b1723f02,020739,YUNG KUANG ROAD,010912,YUNG KUANG ROAD,006514,CORPORATION ROAD,007810,CORPORATION ROAD
38763b54-f253-4cb3-84d2-bd2b151b95ff,042371,YISHUN RING ROAD,016489,YISHUN RING ROAD,050245,YISHUN RING ROAD,069175,YISHUN AVENUE 6
843ae659-25b4-4c80-925f-7ae38150bd04,020097,CHOA CHU KANG CRESCENT,018191,CHOA CHU KANG CRESCENT,045961,CHOA CHU KANG CRESCENT,018215,CHOA CHU KANG CRESCENT
0a096f5b-ee4c-4122-92f8-5364e1b180e1,017170,HOUGANG STREET 91,018030,HOUGANG STREET 91,017171,HOUGANG STREET 91,017213,HOUGANG STREET 93
9118fedf-3c46-4a5d-8324-e8572bc67c05,029275,LORONG SARINA,029273,LORONG SARINA,041712,LORONG SARINA,029271,LORONG SARINA
ea106cd7-da49-4382-949c-3fa515ed4cb3,048650,WOODLANDS STREET 31,048651,WOODLANDS STREET 31,011421,WOODLANDS AVENUE 1,048652,WOODLANDS STREET 31
928bc179-66b3-4aae-a4b9-0ce34398f63a,009328,CHOA CHU KANG NORTH 6,016392,CHOA CHU KANG STREET 54,044251,CHOA CHU KANG NORTH 6,044914,CHOA CHU KANG NORTH 6
1f1fd0a5-af26-4808-badd-aa013ca5a3a2,009435,JURONG WEST AVENUE 3,009436,JURONG WEST AVENUE 3,016613,JURONG WEST AVENUE 3,009437,JURONG WEST AVENUE 3
