id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id
134,atm,uob,470745,1.337379,103.9217411,4,1,215,41649
135,atm,uob,569811,1.3695561,103.8496345,4,52,170,32813
136,atm,uob,563226,1.3671593,103.8392385,4,52,329,33906
137,bank,uob,534013,1.3344429,103.8892526,4,11,202,18528
138,fast_food,肯德基,470632,1.3328039,103.9136248,9,1,211,37717
139,pharmacy,guardian,470631,1.333176,103.9144833,6,1,211,37717
140,restaurant,pizza hut,310190,1.3330817,103.8493507,9,29,96,13865
141,clinic,sata commhealth potong pasir medical centre,347919,1.3290723,103.8700587,6,29,100,23809
142,prep_school,kumon,575629,1.3533619,103.8353583,2,51,328,24675
143,cafe,unicorn kampung 1200,389592,1.3145235,103.889916,9,53,301,3564
144,restaurant,mixed rice,389687,1.3147146,103.8896629,9,53,301,3546
145,bus_station,hougang central interchange,538758,1.3708351,103.8925345,11,11,165,28642
146,bus_station,sembawang interchange,757527,1.4474818,103.8194139,11,19,271,31389
147,atm,uob,570151,1.345283,103.855659,4,51,178,21347
148,atm,uob,570501,1.3483972,103.8493301,4,51,178,14251
149,fast_food,pepper lunch,538766,1.372314,103.8939275,9,11,165,18321
150,atm,uob,556083,1.3502763,103.8728874,4,21,177,30473
151,bank,maybank,310480,1.3319188,103.848231,4,29,96,28399
152,pharmacy,guardian,797653,1.3915673,103.8758859,6,20,239,18983
153,clinic,vital care,560525,1.3725978,103.8540144,6,52,170,29002
154,charging_station,electric car charging station,545015,1.3916658,103.8928146,11,20,237,18364
155,clinic,healthway medical,560330,1.3626523,103.8507325,6,52,330,34800
156,pharmacy,watsons,538719,1.3794249,103.8877603,6,11,243,30642
157,cafe,gong cha,539775,1.3363468,103.8887173,9,11,202,16249
158,post_office,thomson road post office,574339,1.3512914,103.8360914,4,51,328,24491
159,atm,uob,400301,1.3308274,103.9013973,4,53,99,40745
160,atm,uob,400302,1.3300359,103.9009724,4,53,99,40745
161,parking,cp exit,574408,1.3551567,103.8303993,11,51,328,22100
162,post_office,toa payoh north post office,310203,1.3420405,103.8489979,4,29,205,23014
163,dentist,dental surgery,569812,1.3692387,103.8498585,6,52,170,14265
164,atm,uob,310020,1.334986,103.857182,4,29,103,32342
165,atm,uob,330071,1.3210392,103.8704259,4,22,124,9914
166,atm,uob,470631,1.3330187,103.9144505,4,1,211,37717
167,atm,uob,400306,1.3298933,103.9019015,4,53,99,14176
168,atm,uob,574429,1.3508562,103.83557,4,51,328,22193
169,atm,uob,318994,1.3427918,103.8490149,4,29,205,23014
170,atm,uob,347694,1.33138,103.86928,4,29,100,27647
171,atm,uob,358361,1.3327,103.86727,4,29,101,16394
172,atm,uob,368125,1.3317106,103.8793171,4,29,192,13562
173,atm,uob,320080,1.3239037,103.8557634,4,25,175,35108
174,atm,uob,310260,1.3321552,103.8574072,4,29,94,19015
175,bank,uob,330025,1.3182941,103.863199,4,22,174,8018
176,atm,ocbc bank,576385,1.3540793,103.8302757,4,51,328,22206
177,parking,cp entrance,574408,1.3548372,103.8313814,11,51,328,36918
178,pharmacy,watsons,534013,1.3343042,103.8893864,6,11,202,13796
179,pharmacy,guardian,347697,1.3315632,103.8685212,6,29,101,35045
180,pharmacy,watsons,347697,1.3314399,103.8685179,6,29,101,35045
181,cafe,r&b巡茶,576385,1.3541336,103.8302435,9,51,328,22206
182,restaurant,chicken claypot house,389657,1.3149504,103.8909489,9,53,301,12575
183,fast_food,saladstop!,307683,1.3204367,103.8436564,9,25,140,11705
184,cafe,tingkat peramakan,576405,1.354504,103.830405,9,51,328,22153
185,cafe,coffee hive,574408,1.3548986,103.830805,9,51,328,36918
186,clinic,y. c. goh clinic & surgery for women,574408,1.3549123,103.8308474,6,51,328,36918
187,prep_school,visiblemath,575585,1.3528153,103.8365461,2,51,328,33766
188,veterinary,paws n' claws veterinary surgery,575585,1.3529042,103.8360994,6,51,328,32532
189,cafe,ménage,575585,1.3528639,103.8359963,9,51,328,32532
190,school,j carter centre,575585,1.352923,103.8361818,2,51,328,33766
191,restaurant,a-roy thai restaurant,307683,1.3198611,103.8436452,9,25,140,7353
192,restaurant,eng's heritage,576385,1.3542924,103.8303563,9,51,328,22206
193,restaurant,shi li fang,574408,1.3548753,103.8311007,9,51,328,36918
194,cafe,the black sheep café,575629,1.3533968,103.8355333,9,51,328,24675
195,library,clementi public library,129588,1.314676,103.7640222,2,10,128,11137
196,restaurant,tuas 88 eating house,637369,1.2897224,103.6235308,9,30,332,7207
197,restaurant,kjm coffee house,637439,1.2867841,103.6234629,9,30,332,8060
198,parking,terminal 3,000000,1.3581351,103.9883841,11,8,298,39814
199,cafe,toast box,179105,1.2911786,103.8501556,9,40,88,357
200,electricity,power centre,117934,1.2789052,103.7904887,4,17,44,5146
201,place_of_worship,covenant community methodist church,599986,1.3329139,103.7828083,1,6,98,16260
202,beverages,re.juve,048947,1.2836533,103.8500097,9,40,5,1614
203,hairdresser,gc hairdressing,207871,1.31107,103.8583172,9,22,117,7559
204,pet,licked,218398,1.3152839,103.8537474,9,22,129,7602
205,religion,thuru murugan sculpture & arts,218385,1.3147421,103.8539768,1,22,129,7616
206,gift,eileen town gift shop,189652,1.3003482,103.851372,9,35,80,431
207,pastry,cedele,048622,1.28427,103.8520287,9,40,5,679
208,sports,alvin sports,207869,1.3109716,103.8582391,9,22,117,7557
209,pastry,le petit croissant,049318,1.2840244,103.8526519,9,40,5,679
210,interior_decoration,local innterior,218433,1.3163941,103.8533192,9,22,129,7611
211,massage,paradise of relaxation,329719,1.3223885,103.8529894,6,25,175,23498
212,massage,kang zhi yuan,218398,1.3153438,103.8537159,6,22,129,1248
213,convenience,avm mart,210681,1.3135462,103.8550091,9,22,117,6822
214,hairdresser,silvotino,208108,1.311613,103.8587166,9,22,117,7559
215,seafood,atino live seafood,218456,1.3176724,103.8524029,9,22,129,1244
216,beauty,limmy’s,218374,1.3143974,103.8541453,6,22,129,7617
217,pet,mame pet store,209300,1.3123128,103.8574255,9,22,117,7538
218,pastry,polar,307506,1.3207121,103.8442539,9,25,140,11702
219,convenience,cmart,387387,1.3189094,103.8807963,9,53,301,12952
220,interior_decoration,athrow pte. ltd.,458220,1.3148783,103.9192616,9,1,118,44258
221,tyres,goodyear,455270,1.3137487,103.9319636,9,1,118,44075
222,beauty,m-plified beauty,218374,1.3145,103.8540954,6,22,129,7617
223,laundry,first may,458228,1.3144188,103.9194543,9,1,118,44258
224,bicycle,tay junction,408868,1.3328675,103.8933738,9,53,99,18659
225,interior_decoration,collective designs,408868,1.3333401,103.8933035,9,53,99,18659
226,car,jdm automobile,408868,1.3334289,103.8935179,9,53,99,18655
227,beauty,ikeda spa,269758,1.3310534,103.7962169,6,6,148,29187
228,beauty,house of traditional javanese massage,269758,1.3310186,103.7963307,6,6,148,29187
229,bathroom,bathroom warehouse,609966,1.3286462,103.7520595,4,10,189,29331
230,furniture,sincere furniture centre,609966,1.3282891,103.7533529,9,10,189,29330
231,furniture,solos office system furniture,609966,1.3284068,103.7529778,9,10,189,29331
232,bicycle,cannondale,408868,1.3332957,103.8931963,9,53,99,18659
233,furniture,w. atelier,629682,1.3147184,103.6653781,9,15,138,11065
234,furniture,w. atelier,159545,1.2827781,103.8206171,9,4,2,8366
235,beauty,southbridge aesthetics clinic,058826,1.2818137,103.8451591,6,46,3,3745
236,mobile_phone,huawei,556083,1.35071,103.8721191,9,21,177,34726
237,shoes,skechers,579837,1.3504135,103.8489891,9,51,178,36459
238,convenience,shell select,574326,1.3481748,103.83831,9,51,328,27600
239,deli,umeya,918146,1.3559358,103.9889683,9,8,298,42585
240,newsagent,times travel,918146,1.3544466,103.9885171,9,8,298,42585
241,car,sgcarmart,408898,1.3319194,103.9013589,9,53,99,40748
242,car,volkswagen macpherson,368314,1.3324952,103.8822421,9,29,192,18601
243,books,popular,556083,1.3505158,103.8722286,9,21,177,35088
244,supermarket,sheng siong,820301,1.4037905,103.9061683,9,16,292,39051
245,bakery,breadtalk,579837,1.3506852,103.8485622,9,51,178,36459
