id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,start_pa_id,start_sz_id,start_rn_id,origin_lat,origin_lng,end100_a_lat,end100_a_lng,end100_b_lat,end100_b_lng,end_lat,end_lng,end_postal_code,end_pa_id,end_sz_id,end_rn_id,origin_rn_id,origin_pa_id,origin_sz_id,start_rn_id2,start_pa_id3,start_sz_id4,end_rn_id5,end_pa_id6,end_sz_id7,end100_a_rn_id,end100_a_pa_id,end100_a_sz_id,end100_b_rn_id,end100_b_pa_id,end100_b_sz_id
33,,26/11/2014,16 SUNSET DRIVE,flash_flood,,,,,1.325782,103.766715,597092,10,151,17638,1.325831363,103.7666306,1.326610826,103.7670862,1.325607,103.7664994,,,,0,0,0,17642,10,151,17638,10,151,,,,17638,10,151,17603,10,151
34,,17/12/2014,11429 (BUS STOP),flash_flood,,,,,1.30454,103.798363,149597,17,53,4910,1.304494886,103.7984124,1.3047705,103.7986751,1.303885,103.7978921,,,,0,0,0,4910,17,53,4910,17,53,,,,11825,17,53,4910,17,53
35,,17/12/2014,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,13,105,15786,1.333317663,103.705117,1.3333169,103.7055118,1.333316094,103.7042184,,,,0,0,0,15786,13,105,15786,13,105,,,,15788,13,193,15786,13,105
36,,24/12/2014,NATIONAL SHOOTING CENTRE,flash_flood,,,,,1.372792,103.682976,698910,32,307,15643,1.3724093,103.6834659,1.3724093,103.6834659,1.3723825,103.6835028,,,,0,0,0,15643,32,307,15643,32,307,,,,35195,32,307,15643,32,307
37,,24/4/2015,LORNIE VIADUCT,flash_flood,,,,,1.344614,103.8435,579847,51,331,24336,1.344508466,103.8434471,1.344898412,103.8426366,1.3444256,103.8436126,,,,0,0,0,24336,29,210,24336,29,210,,,,24336,29,210,13847,29,210
38,,3/5/2015,NATIONAL SHOOTING CENTRE,flash_flood,,,,,1.372792,103.682976,698910,32,307,15643,1.3724093,103.6834659,1.3724093,103.6834659,1.3723825,103.6835028,,,,0,0,0,15643,32,307,15643,32,307,,,,35195,32,307,15643,32,307
39,,8/6/2015,CHIN BEE AVE,flash_flood,,,,,1.333502,103.712787,619941,13,193,15751,1.333503127,103.7127867,1.333760432,103.7136481,1.333245358,103.7119254,,,,0,0,0,15751,13,193,15751,13,193,,,,15751,13,193,15751,13,193
40,,8/6/2015,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,13,208,25318,1.342067698,103.7159621,1.3425859,103.7159924,1.341165335,103.7159571,,,,0,0,0,25318,13,193,25318,13,193,,,,25320,13,197,25318,13,193
41,,11/8/2015,NANYANG TECHNOLOGICAL UNIVERSITY NORTH SPINE,flash_flood,,,,,1.346176,103.682049,639798,32,307,35086,1.3455242,103.6824111,1.345948619,103.683201,1.34483454,103.6818372,,,,0,0,0,35086,13,106,35086,13,106,,,,35086,13,106,35086,13,106
42,,12/8/2015,TAMPINES STREET 32,flash_flood,,,,,1.353779,103.957994,520384,47,185,42774,1.353774901,103.957994,1.353777196,103.9588925,1.3537748,103.9579508,,,,0,0,0,42567,47,185,42567,47,185,,,,42774,47,185,42565,47,185
43,,9/9/2015,JURONG WEST STREET 51,flash_flood,,,,,1.347889,103.720531,640511,13,261,21253,1.347874484,103.7205061,1.347093169,103.7209583,1.348656304,103.7200544,,,,0,0,0,21253,13,261,21253,13,261,,,,21253,13,261,21253,13,261
44,,2/12/2015,12111 (BUS STOP),flash_flood,,,,,1.319118,103.77223,120343,6,132,939,1.319175052,103.7722119,1.3193858,103.7727165,1.3191199,103.7719738,,,,0,0,0,939,10,119,939,10,119,,,,939,10,119,939,10,119
45,,5/12/2015,LORONG BUANGKOK,flash_flood,,,,,1.383418,103.877972,805910,11,243,33498,1.38325256,103.8779751,1.383298096,103.8788724,1.3832472,103.8776872,,,,0,0,0,28472,11,243,33498,11,243,,,,33498,11,243,25527,11,243
46,,5/12/2015,CHURCH OF ST VINCENT DE PAUL,flash_flood,,,,,1.382224,103.876411,805910,21,249,23779,1.382248403,103.876146,1.3820174,103.8761247,1.3829704,103.8762125,,,,0,0,0,20000,11,243,20000,11,243,,,,20000,11,243,20000,11,243
47,,5/12/2015,ANG MO KIO STREET 31,flash_flood,,,,,1.365873,103.848056,560320,52,330,28981,1.365847423,103.8480567,1.365866351,103.8489551,1.365864028,103.8471596,,,,0,0,0,28981,52,330,28981,52,330,,,,28981,52,330,28981,52,330
48,,10/12/2015,CHANGI FLYOVER,flash_flood,,,,,1.345806,103.982914,819658,8,298,40169,1.345583278,103.9834292,1.3447708,103.9830779,1.346412537,103.9837877,,,,0,0,0,40169,8,298,40169,8,298,,,,40169,8,298,40169,8,298
49,,10/12/2015,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,13,208,25318,1.342067698,103.7159621,1.3425859,103.7159924,1.341165335,103.7159571,,,,0,0,0,25318,13,193,25318,13,193,,,,25320,13,197,25318,13,193
50,,10/12/2015,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,22,174,304,1.317040949,103.8624115,1.317600897,103.8617059,1.316887,103.8626036,,,,0,0,0,304,22,174,304,22,174,,,,304,22,174,469,22,131
51,,10/12/2015,MAXWELL FOOD CENTRE,flash_flood,,,,,1.280331,103.844747,88437,40,40,8473,1.280101913,103.8444636,1.2803997,103.8441945,1.2797682,103.8447494,,,,0,0,0,8473,46,3,8473,46,3,,,,8472,46,3,8473,46,3
52,,11/12/2015,PEK KIO CC,flash_flood,,,,,1.313059,103.851374,219458,22,129,9689,1.313277571,103.8516174,1.3128704,103.8519979,1.3139217,103.8510619,,,,0,0,0,9689,22,129,9689,22,129,,,,8001,22,129,6930,22,129
53,,11/12/2015,BALESTIER POINT,flash_flood,,,,,1.322812,103.852026,329735,25,175,23491,1.323106744,103.8523887,1.322556,103.8527134,1.3234184,103.8521354,,,,0,0,0,23491,25,175,23491,25,175,,,,23490,25,175,23491,25,175
54,,11/12/2015,50199 (BUS STOP),flash_flood,,,,,1.324968,103.850509,308231,25,175,31787,1.325015654,103.8505463,1.3248955,103.8506997,1.3253207,103.8501015,,,,0,0,0,31787,25,175,31787,25,175,,,,22331,25,175,26163,25,175
55,,11/12/2015,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,22,174,304,1.317040949,103.8624115,1.317600897,103.8617059,1.316887,103.8626036,,,,0,0,0,304,22,174,304,22,174,,,,304,22,174,469,22,131
56,,11/12/2015,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,13,208,25318,1.342067698,103.7159621,1.3425859,103.7159924,1.341165335,103.7159571,,,,0,0,0,25318,13,193,25318,13,193,,,,25320,13,197,25318,13,193
57,,11/12/2015,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,17,25,10160,1.292604309,103.7690434,1.292127,103.7686515,1.2930744,103.7694361,,,,0,0,0,4539,17,51,10160,17,51,,,,4539,17,51,4539,17,51
58,,22/1/2016,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,17,25,10160,1.292604309,103.7690434,1.292127,103.7686515,1.2930744,103.7694361,,,,0,0,0,4539,17,51,10160,17,51,,,,4539,17,51,4539,17,51
59,,9/4/2016,MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD),flash_flood,,,,,1.277368,103.818652,90011,4,39,3666,1.277851281,103.818483,1.278141281,103.8193341,1.2776297,103.8178458,,,,0,0,0,3666,4,39,3666,4,39,,,,3666,4,39,1738,4,39
60,,20/4/2016,2 ENTERPRISE ROAD,flash_flood,,,,,1.333642,103.707847,629814,13,105,15788,1.332954915,103.7076694,1.333183088,103.7068,1.3327776,103.7083941,,,,0,0,0,15781,13,193,15781,13,193,,,,15788,13,193,15780,13,193
61,,11/5/2016,45061 (BUS STOP),flash_flood,,,,,1.407181,103.756063,729678,28,277,33566,1.407182619,103.7560829,1.406279101,103.7561011,1.407749,103.7560145,,,,0,0,0,33566,28,277,33566,28,277,,,,33566,28,277,14664,28,263
62,,11/5/2016,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,55,316,15332,1.429507458,103.8352681,1.428604784,103.8352133,1.4303601,103.8352969,,,,0,0,0,15332,55,219,15332,55,219,,,,15332,55,219,15378,55,219
63,,18/5/2016,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,13,105,15785,1.327816635,103.7062127,1.3278105,103.7059414,1.327926566,103.7071015,,,,0,0,0,15785,2,147,15785,2,147,,,,15785,2,147,15785,2,147
64,,17/6/2016,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,13,105,15786,1.333317663,103.705117,1.3333169,103.7055118,1.333316094,103.7042184,,,,0,0,0,15786,13,105,15786,13,105,,,,15788,13,193,15786,13,105
65,,17/6/2016,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,13,208,25318,1.342067698,103.7159621,1.3425859,103.7159924,1.341165335,103.7159571,,,,0,0,0,25318,13,193,25318,13,193,,,,25320,13,197,25318,13,193
